,Simulated Returns
659,-0.9751715015326016
660,28832.756241218925
661,-12.161894804079438
662,-1.207832705596203
663,-1.199067319583474
664,615290199.454574
665,-797.3142427710368
666,-1.0004407685214378
667,-0.999988623511993
668,120808160.24974716
669,-1.0000000014767754
670,-1.1440456128976662
671,0.12919742812778878
672,1.640127682891897
673,-1.0000000243400897
674,-0.9690352190264482
675,-65.93957490595186
676,-0.9999851147235158
677,-52.29630568883298
678,-0.9995188136341556
679,-1.6989814237330458
680,-0.7135397194864758
681,-0.9999999999998538
682,2.0594193161234284
683,41.34051110235155
684,-1.0000000000004532
685,-0.9999999711673354
686,204109.47046607485
687,-1.0
688,-0.7207832858331107
689,-3.659748943257992
690,-1.0011275078156008
691,-1.0061711873256125
692,-0.9999997919233821
693,-0.9467934809369286
694,36.93833716868904
695,9.176187344958109
696,-1.000000000198397
697,-58.40916173404049
698,205.64534294107278
699,-753996347.4859476
700,-0.9999999952843334
701,-1.0000000002679166
702,-1.0
703,-1.0244040068326752
704,-0.9999999999402337
705,-1.0000033541207525
706,-1.0000000000133138
707,-0.9999999861118619
708,-0.9999998760660305
709,-2.8134558363440725
710,-1.0001790866029787
711,-324.3382614215242
712,-0.9999999874690884
713,-9.35572620777243
714,0.2877545209385921
715,-1.0011798425614162
716,-1.0000064724047317
717,35631926.340384364
718,-0.9999950840778956
719,-7292491014.111161
720,-0.9892939565740864
721,-0.9999999998643946
722,-0.9999313727118582
723,-59.22368112171929
724,-9.029926554594422
725,1.6731807378414918
726,-0.9979696953531484
727,-548.3272646279646
728,-0.9999918594492234
729,660044709903.4855
730,1291958.477369737
731,-1.6329640771790066
732,47208.83176200154
733,-1.000608618781495
734,-1.000884968455945
735,-129901.54975809953
736,123683.6432697847
737,-0.9999999946158031
738,-0.9970993782338305
739,-1.0000000869085757
740,-0.9999998078314993
741,-1.00957234388047
742,-1.0000073704155763
743,-0.8006857326251418
744,-0.996420091701668
745,-0.999999999773445
746,-0.999999999999963
747,-1.1350217955506687
748,93247.99254342157
749,0.47551722569194377
750,-0.7678767832440367
751,-1.0000000000991396
752,-1.0016948783054243
753,-553562398.2343028
754,-1.185615855650012
755,-1.0766943098937598
756,-5.849418438066106
757,-1.2422135723621355
758,-1.000257313733528
759,-0.9991348044662444
760,861197632.7900975
761,-0.9999885623937684
762,3.922615039710708
763,-1.0000000203532353
764,-267.3420972283933
765,128637490223.27092
766,-5651.3397751817965
767,13118190.56719703
768,-3846808.898627053
769,-0.9998694251937761
770,-54134330.756097734
771,-0.9998268953562365
772,-0.9999999392456658
773,1471.8844653851124
774,-1.0000007331336833
775,-1.000165620758547
776,-267.02215414787656
777,-0.33155291504158513
778,-0.8594863336865154
779,-0.6883383453143965
780,3634.332930991007
781,49487196722167.49
782,-1.0000000017179191
783,19.801804460444913
784,-0.9997296612784883
785,-136755.2964374041
786,-193036942.45436236
787,-5763686.3795851935
788,-1.000005604348918
789,0.1277296795884677
790,-1.0000203049292118
791,-1.000000058429633
792,137.29191999328108
793,-0.9999998898627785
794,-0.9988969779351695
795,-1.0000000000347584
796,-0.9966003615498346
797,-1.0000000000033882
798,7963.256525279099
799,-1.002435667998923
800,-1.0002060648236182
